framework_id,domain,subdomain,item_id,item_type,maturity_level,text_english,response_type,scoring_note,question_text
ADB,Societal Readiness,[For e-learning projects] Sharing of locally relevant content between healthcare institutions,ADB_SR_SH_2,statement,,The relevant material is available in language(s) that is easily understood by all the concerned staff and other users of information,likert_1_5,[For e-learning projects],The relevant material is available in language(s) that is easily understood by all the concerned staff and other users of information
ADB,Societal Readiness,[For service-related projects] Providing care to patients and communities in collaboration with other healthcare institutions,ADB_SR_PC_1,statement,,A referral system is available between this institution and other healthcare institutions to provide patient care in certain specialties,likert_1_5,[For service-related projects],A referral system is available between this institution and other healthcare institutions to provide patient care in certain specialties
ADB,Societal Readiness,[For service-related projects] Providing care to patients and communities in collaboration with other healthcare institutions,ADB_SR_PC_2,statement,,ICT is currently used for referrals between this institution and other healthcare institutions,likert_1_5,[For service-related projects],ICT is currently used for referrals between this institution and other healthcare institutions
ADB,Societal Readiness,Considering sociocultural factors among staff,ADB_SR_SCF_1,statement,,Both the genders have equal and unrestricted access to the technology,likert_1_5,,Both the genders have equal and unrestricted access to the technology
ADB,Societal Readiness,Considering sociocultural factors among staff,ADB_SR_SCF_2,statement,,Staff from all levels get direct benefit from the use of technology,likert_1_5,,Staff from all levels get direct benefit from the use of technology
ADB,Societal Readiness,Considering sociocultural factors among clients and communities,ADB_SR_SCC_1,statement,,Use of ICT will benefit men and women equally in the society,likert_1_5,,Use of ICT will benefit men and women equally in the society
ADB,Societal Readiness,Considering sociocultural factors among clients and communities,ADB_SR_SCC_2,statement,,People from all socioeconomic strata get direct benefit from the use of technology,likert_1_5,,People from all socioeconomic strata get direct benefit from the use of technology
ADB,Societal Readiness,ICT related regulations,ADB_SR_REG_1,statement,,Government policies are in place to promote and manage use of eHealth/telehealth in healthcare institutions,likert_1_5,,Government policies are in place to promote and manage use of eHealth/telehealth in healthcare institutions
ADB,Societal Readiness,ICT related regulations,ADB_SR_REG_2,statement,,Institutional policies are in place to promote and manage use of eHealth/telehealth in your institution,likert_1_5,,Institutional policies are in place to promote and manage use of eHealth/telehealth in your institution
ADB,Societal Readiness,Policies regarding licensing and liability,ADB_SR_LL_1,statement,,Government policies are in place to allow care provision in other jurisdictions through telehealth,likert_1_5,,Government policies are in place to allow care provision in other jurisdictions through telehealth
ADB,Societal Readiness,Policies regarding licensing and liability,ADB_SR_LL_2,statement,,Institutional policies are in place to allow care provision in other jurisdictions through telehealth,likert_1_5,,Institutional policies are in place to allow care provision in other jurisdictions through telehealth
ADB,Societal Readiness,Policies regarding licensing and liability,ADB_SR_LL_3,statement,,Government policies are in place to deal with liability issues,likert_1_5,,Government policies are in place to deal with liability issues
ADB,Societal Readiness,Policies regarding licensing and liability,ADB_SR_LL_4,statement,,Institutional policies are in place to deal with liability issues,likert_1_5,,Institutional policies are in place to deal with liability issues
ADB,Societal Readiness,Policies regarding reimbursement,ADB_SR_PR_1,statement,,Government policies are in place to ensure proper reimbursement to the healthcare providers in your institution,likert_1_5,,Government policies are in place to ensure proper reimbursement to the healthcare providers in your institution
ADB,Societal Readiness,Policies regarding reimbursement,ADB_SR_PR_2,statement,,Institutional policies are in place to ensure proper reimbursement to the healthcare providers in your institution,likert_1_5,,Institutional policies are in place to ensure proper reimbursement to the healthcare providers in your institution
ADB,Societal Readiness,Policies regarding system interoperability,ADB_SR_PSI_1,statement,,Government policies are in place to ensure/specify interoperability standards and system requirements,likert_1_5,,Government policies are in place to ensure/specify interoperability standards and system requirements
ADB,Societal Readiness,Awareness and support of ICT among politicians,ADB_SR_ASP_1,statement,,Politicians are generally aware of the benefits of ICT use in healthcare,likert_1_5,,Politicians are generally aware of the benefits of ICT use in healthcare
ADB,Societal Readiness,Awareness and support of ICT among politicians,ADB_SR_ASP_2,statement,,Politicians generally support the use of ICT use in healthcare,likert_1_5,,Politicians generally support the use of ICT use in healthcare
ADB,Societal Readiness,Awareness and support of ICT among policymakers at the institutional level,ADB_SR_ASPM_1,statement,,Policy makers are aware of the benefits of ICT in healthcare institutions,likert_1_5,,Policy makers are aware of the benefits of ICT in healthcare institutions
ADB,Societal Readiness,Awareness and support of ICT among policymakers at the institutional level,ADB_SR_ASPM_2,statement,,Policy makers support the use of ICT in healthcare institutions,likert_1_5,,Policy makers support the use of ICT in healthcare institutions
